Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.34380999267918505,1.0465725801809698,-0.6335715073683396,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.32711005960928236,1.0461704430591607,-0.6339805520537979,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.32567007868482,1.4118082544896813,-0.6793474696655192,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.14841428584996302,-1.2494683572020715,0.1961439236771489,3,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.1556183965529027,-1.9884392105757025,0.4302129439599236,3,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.17993274806766688,-1.0198253263914567,-0.027551858725234083,3,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.3829257402604996,1.10257627816136,-0.5026518793050836,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.14300899620456037,-2.1669459754070672,0.4711479304588335,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.15405741659288494,-1.9885878750356951,0.4302065212073437,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.1359903681514562,-2.182325337903387,0.23313279453307842,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.13407072140054627,1.0866660311421517,-0.11403617524127793,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16933728874739265,-1.827200709150872,0.45916139032948533,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.3111196234959002,0.8168682942709251,-0.4098949682384256,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.25844465035173836,0.5326144457589631,-0.04100966386489687,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.18108151683361698,-1.019779364522614,-0.02752896186008904,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.23246341427254608,1.694170149529755,-0.6746203130655186,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.22040531148067988,-0.9637593100219709,0.10339251242185035,3,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.1806972868806778,-1.0198099346921778,-0.02753226778120436,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.34346882055142236,1.0465602757358068,-0.6335786929080907,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.33602875812479194,1.046556999658905,-0.6338112999454948,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.08460975903277015,-1.813524422167857,0.46321602577462306,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.5459755140827225,-1.2913534861323275,-0.03535442126821579,3,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.14549275035995485,-1.2495773286913456,0.1960834248981783,3,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.17794675389963557,-1.0199443480084796,-0.02758011233730864,3,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.18050097203094903,-1.0198352772991015,-0.027531172151802473,3,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.3423029985227625,1.046569562719805,-0.6336179480792964,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.21988485283057066,-0.5263954262989247,0.11605042191811421,3,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.20189564102813345,-1.2268481803946405,0.12341557286673575,3,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.18054967930980848,-1.0197992566193317,-0.027539959364812103,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.34380592093294415,1.0465722255359975,-0.633571533612822,0,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.1810637403473622,-1.0197794001168958,-0.02752950967409895,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3437901664569057,1.0465718474693089,-0.6335719198730457,0,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.18115037551901067,-1.0197737793331387,-0.02752839994078354,3,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.22049486099230697,-0.9637577446303506,0.10339487508137121,3,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.5437406132208855,0.3153613175282144,-0.21832080133670678,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.36553610947434145,0.8395462165792829,-0.48261050310347764,0,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.19315893249456234,-1.8241678349905948,0.45754502312490275,3,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.23026474841523514,-1.2647659286249813,0.18863825007294047,3,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.06812903344754496,-1.02961988123753,-0.03253346331790904,3,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.18089608978334648,-1.019779735807611,-0.027534676124117797,3,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.17649184284987732,-1.0199817694886695,-0.027615065005314906,3,Einsteinium
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.18083527637587846,-1.0197874810405028,-0.027534366874450114,3,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.3379157539919717,1.332861023268625,0.03885091242734697,0,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.3242749236856491,0.6242895947857973,-0.7192786496669371,0,FlutterCoin
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.18120750847664818,-1.019772345252413,-0.027527017237635187,3,Franko
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.16785234478120403,-1.5919122280306333,0.24694186806053134,3,FeatherCoin
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.16038495596430968,-1.020790794336164,-0.027888963186373465,3,GrandCoin
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.17999993116023139,-1.0198154892776412,-0.027552567133434864,3,GlobalCoin
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.18027805163130348,-1.019816488755384,-0.027543550621653545,3,GoldCoin
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.34186457989715757,1.0464855197936642,-0.633607640660523,0,HoboNickels
HYP,X11,PoS,1678520090.7713,0.0,-0.31002652991912316,0.8182905972059766,-0.13439230178478812,0,HyperStake
IFC,Scrypt,PoW,90595753018.6314,90600000000.0,1.5715775365091589,-1.0860638294962264,-0.063561791818864,3,Infinite Coin
IOC,X11,PoW/PoS,17650913.9743456,22000000.0,-0.3828201866468067,1.1025760668088473,-0.502655132127245,0,IOCoin
IXC,SHA-256,PoW,21089348.999,21000000.0,-0.14837556269183613,-1.2494684347383813,0.1961427303542232,3,IXcoin
KGC,Scrypt,PoW,151447649.8,265420800.0,-0.17756161984647165,-1.019955806437502,-0.027588920146989847,3,KrugerCoin
LKY,Scrypt,PoW,19326319.14375,20000000.0,-0.1809225912728124,-1.0197789897007972,-0.027534057917528536,3,LuckyCoin
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.18127819041039508,-1.0197653524382029,-0.027526801222952327,3,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.2947254857195807,1.9944265906325271,-0.6932555299844407,0,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.1805358066604929,-1.0197950110983498,-0.027541610726863286,3,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.1675342017830392,-2.1132007172940708,0.38100977769515326,3,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.030438799574126416,0.7617901495499234,-0.2727181346402462,0,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.18115920239127684,-1.0197715855062146,-0.027528751164469387,3,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.2743471968556696,0.815133303082231,-0.4105523703046103,0,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.2908856063250237,0.7623004349671069,-0.26468879204788764,0,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.26331696075809685,1.6347178892262348,-0.6619187893063017,0,NavCoin
